Laporan Penggunaan Keseluruhan Iklan Pencarian - Shopee Indonesia
Username:,newlab.id
Waktu Laporan Dibuat:,19/05/2023 08:42
Periode:,01/12/2022 - 31/12/2022
ID Toko:,3714573

Urutan,Nama Iklan,Status,Kode Produk,Jenis Iklan,Kata Pencarian/Penempatan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
1,Minuman Kolagen Pemutih Badan Cepat | NEWLAB Premium Collagen Drink | Collagen Beauty Drink,Berjalan,7586297663,Iklan Produk Serupa,Semua,01/06/2021 23:00,Tidak Terbatas,1581730,36583,2.31%,1274,774,3.48%,2.12%,21349,35140,1342,823,172784988,96631988,27198001,6.35,3.55,15.74%,28.15%,N/A,N/A,N/A
2,Minuman Kolagen Pemutih Badan Cepat | NEWLAB Premium Collagen Drink | Collagen Beauty Drink,Berjalan,7586297663,Iklan Pencarian Produk,Semua,07/08/2021 23:00,Tidak Terbatas,938929,96267,10.25%,6084,4265,6.32%,4.43%,13376,19080,6393,4507,838683949,540790949,81377316,10.31,6.65,9.70%,15.05%,N/A,N/A,N/A
3,PAKET HEMAT 2 | Minuman Kolagen Pemutih Badan Cepat | NEWLAB Premium Collagen Drink | Colagen Beauty Drink,Berjalan,12311388148,Iklan Produk Serupa,Semua,27/02/2022 23:00,Tidak Terbatas,398992,6971,1.75%,548,364,7.86%,5.22%,9350,14076,570,378,116581999,96277000,5123583,22.75,18.79,4.39%,5.32%,N/A,N/A,N/A
4,NEWLAB Acnalogy Powder Drink | Obat Minum Jerawat | Minuman Antioksidan | Penghilang Bekas Jerawat | Acne Treatment Drink,Berjalan,18956952418,Iklan Produk Serupa,Semua,25/11/2022 00:00,Tidak Terbatas,398982,7951,1.99%,468,238,5.89%,2.99%,9895,19458,482,246,60694997,28633000,4630901,13.11,6.18,7.63%,16.17%,N/A,N/A,N/A
5,PAKET HEMAT 2 | Teh Diet Detoks | NEWLAB Slimlogy Tea Drink | Suplemen pelangsing herbal,Berjalan,9818514683,Iklan Produk Serupa,Semua,11/12/2022 00:00,Tidak Terbatas,384539,4004,1.04%,341,206,8.52%,5.14%,13652,22599,349,208,43241000,27806000,4655441,9.29,5.97,10.77%,16.74%,N/A,N/A,N/A
6,NEWLAB Brightening Body Lotion AHA Wangi Baccarat + Black Opium | Lotion Pemutih Badan Extra Sunscreen | Lotion Serum AHA Penghilang Bekas Luka,Berjalan,11568964148,Iklan Pencarian Produk,Semua,07/06/2022 23:00,Tidak Terbatas,344327,15567,4.52%,755,594,4.85%,3.82%,18268,23219,797,625,65877998,45420000,13792160,4.78,3.29,20.94%,30.37%,N/A,N/A,N/A
7,PRO TEETH WHITENING KIT Alat Pemutih Gigi Permanen |  NEWLAB Memutihkan Gigi Super Cepat,Berjalan,7315786944,Iklan Pencarian Produk,Semua,10/05/2021 23:00,Tidak Terbatas,290348,28841,9.93%,805,654,2.79%,2.27%,21876,26927,811,655,111014999,95293000,17610314,6.3,5.41,15.86%,18.48%,N/A,N/A,N/A
8,NEWLAB Fiber Drink | Fiber Sayur & Buah Menyerap Minyak | Fiber Rasa Cokelat Pengganti Makan Malam & Pagi,Berjalan,19453415762,Iklan Produk Serupa,Semua,04/12/2022 00:00,Tidak Terbatas,275083,6320,2.30%,386,141,6.11%,2.23%,4807,13158,413,160,52768999,23448000,1855322,28.44,12.64,3.52%,7.91%,N/A,N/A,N/A
9,NEWLAB Underarm Brightening Serum AHA | Pemutih Ketiak Selangkangan Instan Cepat| Penghilang Bekas Luka,Berjalan,13745120121,Iklan Produk Serupa,Semua,23/04/2022 00:00,Tidak Terbatas,252681,4094,1.62%,197,120,4.81%,2.93%,15093,24778,212,131,19201000,8764000,2973303,6.46,2.95,15.49%,33.93%,N/A,N/A,N/A
10,Beaudelab Deluxe Pemutih Gigi Permanen | Teeth Whitening Kit | Alat Pemutih Gigi Cepat Lampu LED,Selesai,2243312460,Iklan Produk Serupa,Semua,22/02/2021 23:00,Tidak Terbatas,204722,2999,1.46%,131,58,4.37%,1.93%,17164,38766,132,58,19523500,11374000,2248426,8.68,5.06,11.52%,19.77%,N/A,N/A,N/A
